sku_id,store_id,department,category,product_name,size,color,unit_cost,retail_price,inventory_count,reorder_point,warehouse_id,last_received_date,last_sold_date,seasonal_flag,last_updated
WMN-DRS-004521,NYNYC-001,WMN,DRS,Classic Fit Wrap Dress,M,Navy,36.00,89.99,142,25,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-10
WMN-BLS-001847,NYNYC-001,WMN,BLS,Silk Button Down Blouse,S,Ivory,52.00,128.00,67,20,WH-EAST-01,2026-03-02,2026-03-08,N,2026-03-09
WMN-SKT-003290,CASFO-002,WMN,SKT,Pleated Midi Skirt,L,Black,28.00,69.50,203,30,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
WMN-JKT-007812,TXDAL-001,WMN,JKT,Cropped Denim Jacket,M,Light Wash,45.00,110.00,18,25,WH-CENTRAL-01,2026-02-28,2026-03-07,N,2026-03-08
WMN-PNT-002156,ILDCH-001,WMN,PNT,High Rise Wide Leg Trousers,10,Charcoal,38.00,95.00,91,20,WH-CENTRAL-01,2026-03-04,2026-03-09,N,2026-03-09
WMN-DRS-008934,FLMIA-001,WMN,DRS,Floral Print Maxi Dress,S,Coral,42.00,119.00,55,15,WH-EAST-01,2026-03-03,2026-03-08,Y,2026-03-08
WMN-SWT-005643,WASET-001,WMN,SWT,Cashmere Blend Cardigan,M,Camel,85.00,225.00,33,10,WH-WEST-01,2026-03-01,2026-03-06,Y,2026-03-07
WMN-TPT-001290,NYNYC-002,WMN,TPT,Lace Trim Camisole Top,XS,Blush,14.00,39.50,276,40,WH-EAST-01,2026-03-07,2026-03-10,N,2026-03-10
MEN-SHR-002341,NYNYC-001,MEN,SHR,Classic Fit Oxford Shirt,L,White,32.00,79.50,185,30,WH-EAST-01,2026-03-04,2026-03-09,N,2026-03-09
MEN-PNT-004578,CASFO-002,MEN,PNT,Slim Fit Chino Pants,32,Khaki,29.00,69.99,120,25,WH-WEST-01,2026-03-05,2026-03-10,N,2026-03-10
MEN-JKT-006723,TXDAL-001,MEN,JKT,Lightweight Bomber Jacket,XL,Olive,55.00,149.00,42,15,WH-CENTRAL-01,2026-03-03,2026-03-08,N,2026-03-08
MEN-SUT-001987,ILDCH-001,MEN,SUT,Tailored Two Button Suit Jacket,42R,Charcoal,120.00,395.00,12,8,WH-CENTRAL-01,2026-03-01,2026-03-07,N,2026-03-07
MEN-PLO-003456,FLMIA-001,MEN,PLO,Performance Polo Shirt,M,Navy,18.00,49.50,310,50,WH-EAST-01,2026-03-06,2026-03-10,Y,2026-03-10
MEN-DNM-005890,WASET-001,MEN,DNM,Relaxed Fit Stretch Denim Jeans,34,Indigo,35.00,89.00,78,20,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
MEN-TIE-000412,NYNYC-002,MEN,TIE,Silk Paisley Necktie,N/A,Burgundy,22.00,59.50,156,35,WH-EAST-01,2026-03-07,2026-03-10,N,2026-03-10
KID-DRS-001234,NYNYC-001,KID,DRS,Girls Tulle Party Dress,6,Pink,18.00,45.00,88,20,WH-EAST-01,2026-03-05,2026-03-09,Y,2026-03-09
KID-TPT-002567,CASFO-002,KID,TPT,Boys Graphic Tee Dinosaur Print,8,Green,9.00,24.99,245,40,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
KID-PNT-003890,TXDAL-001,KID,PNT,Girls Stretch Leggings Two Pack,5,Multicolor,12.00,29.99,167,30,WH-CENTRAL-01,2026-03-04,2026-03-08,N,2026-03-08
KID-JKT-004123,ILDCH-001,KID,JKT,Boys Puffer Jacket Hooded,10,Red,35.00,89.00,8,15,WH-CENTRAL-01,2026-03-02,2026-03-06,Y,2026-03-06
KID-SHO-005456,FLMIA-001,KID,SHO,Kids Light Up Sneakers,3,Silver,16.00,42.00,195,35,WH-EAST-01,2026-03-07,2026-03-10,N,2026-03-10
KID-SWT-006789,WASET-001,KID,SWT,Toddler Fleece Zip Hoodie,3T,Gray,14.00,34.99,112,25,WH-WEST-01,2026-03-03,2026-03-07,N,2026-03-07
KID-UNF-007012,GAATL-001,KID,UNF,School Uniform Polo Shirt,7,White,8.50,22.00,340,60,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-09
HOM-BED-001345,NYNYC-001,HOM,BED,Egyptian Cotton Sheet Set Queen,Queen,White,65.00,179.99,52,15,WH-EAST-01,2026-03-04,2026-03-09,N,2026-03-09
HOM-DCR-002678,CASFO-002,HOM,DCR,Handwoven Throw Blanket,N/A,Terracotta,35.00,89.00,74,20,WH-WEST-01,2026-03-06,2026-03-10,Y,2026-03-10
HOM-KIT-003901,TXDAL-001,HOM,KIT,Stainless Steel Cookware Set,N/A,Silver,120.00,299.99,23,10,WH-CENTRAL-01,2026-03-03,2026-03-07,N,2026-03-07
HOM-BTH-004234,ILDCH-001,HOM,BTH,Luxury Turkish Bath Towel Set,N/A,Spa Blue,28.00,69.99,135,25,WH-CENTRAL-01,2026-03-05,2026-03-10,N,2026-03-10
HOM-FRN-005567,FLMIA-001,HOM,FRN,Mid Century Modern Accent Chair,N/A,Emerald,145.00,449.00,7,5,WH-EAST-01,2026-03-01,2026-03-05,N,2026-03-05
HOM-CND-006890,WASET-001,HOM,CND,Soy Wax Scented Candle Set,N/A,Amber,8.00,24.99,298,50,WH-WEST-01,2026-03-07,2026-03-10,N,2026-03-10
HOM-RUG-007123,GAATL-001,HOM,RUG,Handknotted Wool Area Rug,5x7,Ivory,180.00,499.00,4,3,WH-EAST-01,2026-02-28,2026-03-04,N,2026-03-04
BTY-SKN-001456,NYNYC-001,BTY,SKN,Hydrating Face Serum Vitamin C,1oz,N/A,18.00,48.00,189,30,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
BTY-MKP-002789,CASFO-002,BTY,MKP,Long Wear Liquid Foundation,N/A,Medium Beige,12.00,38.50,214,40,WH-WEST-01,2026-03-05,2026-03-09,N,2026-03-09
