sku_id,store_id,department,category,product_name,size,color,unit_cost,retail_price,inventory_count,reorder_point,warehouse_id,last_received_date,last_sold_date,seasonal_flag,last_updated
WMN-DRS-004521,NYNYC-001,WMN,DRS,Classic Fit Wrap Dress,M,Navy,36.00,89.99,142,25,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-10
WMN-BLS-001847,NYNYC-001,WMN,BLS,Silk Button Down Blouse,S,Ivory,52.00,128.00,67,20,WH-EAST-01,2026-03-02,2026-03-08,N,2026-03-09
WMN-SKT-003290,CASFO-002,WMN,SKT,Pleated Midi Skirt,L,Black,28.00,69.50,203,30,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
WMN-JKT-007812,TXDAL-001,WMN,JKT,Cropped Denim Jacket,M,Light Wash,45.00,110.00,18,25,WH-CENTRAL-01,2026-03-05,2026-03-07,N,2026-03-08
MEN-SHR-002341,NYNYC-001,MEN,SHR,Classic Fit Oxford Shirt,L,White,32.00,79.50,185,30,WH-EAST-01,2026-03-04,2026-03-09,N,2026-03-09
MEN-PNT-004578,CASFO-002,MEN,PNT,Slim Fit Chino Pants,32,Khaki,29.00,69.99,120,25,WH-WEST-01,2026-03-05,2026-03-10,N,2026-03-10
MEN-JKT-006723,TXDAL-001,MEN,JKT,Lightweight Bomber Jacket,XL,Olive,55.00,149.00,42,15,WH-CENTRAL-01,2026-03-03,2026-03-08,N,2026-03-08
MEN-PLO-003456,FLMIA-001,MEN,PLO,Performance Polo Shirt,M,Navy,18.00,49.50,310,50,WH-EAST-01,2026-03-06,2026-03-10,Y,2026-03-10
KID-TPT-002567,CASFO-002,KID,TPT,Boys Graphic Tee Dinosaur Print,8,Green,9.00,24.99,245,40,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
KID-PNT-003890,TXDAL-001,KID,PNT,Girls Stretch Leggings Two Pack,5,Multicolor,12.00,29.99,167,30,WH-CENTRAL-01,2026-03-04,2026-03-08,N,2026-03-08
KID-DRS-001234,NYNYC-001,KID,DRS,Girls Tulle Party Dress,6,Pink,18.00,45.00,88,20,WH-EAST-01,2026-03-05,2026-03-09,Y,2026-03-09
HOM-BED-001345,ILDCH-001,HOM,BED,Egyptian Cotton Sheet Set Queen,Queen,White,65.00,179.99,52,15,WH-CENTRAL-01,2026-03-04,2026-03-09,N,2026-03-09
HOM-DCR-002678,CASFO-002,HOM,DCR,Handwoven Throw Blanket,N/A,Terracotta,35.00,89.00,74,20,WH-WEST-01,2026-03-06,2026-03-10,Y,2026-03-10
HOM-KIT-003901,TXDAL-001,HOM,KIT,Stainless Steel Cookware Set,N/A,Silver,120.00,299.99,23,10,WH-CENTRAL-01,2026-03-03,2026-03-07,N,2026-03-07
BTY-SKN-001456,NYNYC-001,BTY,SKN,Hydrating Face Serum Vitamin C,1oz,N/A,18.00,48.00,189,30,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
BTY-MKP-002789,CASFO-002,BTY,MKP,Long Wear Liquid Foundation,N/A,Medium Beige,12.00,38.50,214,40,WH-WEST-01,2026-03-05,2026-03-09,N,2026-03-09
BTY-FRG-003012,TXDAL-001,BTY,FRG,Floral Eau De Parfum Spray,3.4oz,N/A,28.00,85.00,63,15,WH-CENTRAL-01,2026-03-04,2026-03-08,N,2026-03-08
SHO-HEL-001567,NYNYC-001,SHO,HEL,Patent Leather Stiletto Pumps,8,Black,65.00,168.00,46,12,WH-EAST-01,2026-03-04,2026-03-09,N,2026-03-09
SHO-SNK-002890,CASFO-002,SHO,SNK,Mens Retro Running Sneakers,10.5,White,55.00,139.00,83,20,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
SHO-BTS-003123,TXDAL-001,SHO,BTS,Waterproof Leather Hiking Boots,9,Brown,78.00,195.00,31,10,WH-CENTRAL-01,2026-03-03,2026-03-07,N,2026-03-07
ACC-BAG-001678,NYNYC-001,ACC,BAG,Quilted Leather Crossbody Bag,N/A,Black,45.00,128.00,76,15,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-09
ACC-JWL-002901,CASFO-002,ACC,JWL,Gold Plated Layered Necklace Set,N/A,Gold,18.00,52.00,198,35,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
ACC-SCF-003234,TXDAL-001,ACC,SCF,Cashmere Blend Winter Scarf,N/A,Gray,28.00,75.00,45,12,WH-CENTRAL-01,2026-03-03,2026-03-07,Y,2026-03-07
WMN-ACT-009012,CASLA-001,WMN,ACT,High Waist Yoga Leggings,S,Black,15.00,48.00,215,40,WH-WEST-01,2026-03-07,2026-03-10,N,2026-03-10
MEN-DNM-005890,WASET-001,MEN,DNM,Relaxed Fit Stretch Denim Jeans,34,Indigo,35.00,89.00,-5,20,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
