sku_id,store_id,department,category,product_name,size,color,unit_cost,retail_price,inventory_count,reorder_point,warehouse_id,last_received_date,last_sold_date,seasonal_flag,last_updated
WMN-DRS-004521,NYNYC-001,WMN,DRS,Classic Fit Wrap Dress,M,Navy,36.00,89.99,142,25,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-10
MEN-SHR-002341,CASFO-002,MEN,SHR,Classic Fit Oxford Shirt,L,White,32.00,79.50,185,30,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
KID-TPT-002567,TXDAL-001,KID,TPT,Boys Graphic Tee Dinosaur Print,8,Green,9.00,24.99,245,40,WH-CENTRAL-01,2026-03-06,2026-03-10,N,2026-03-10
HOM-BED-001345,ILDCH-001,HOM,BED,Egyptian Cotton Sheet Set Queen,Queen,White,65.00,179.99,52,15,WH-CENTRAL-01,2026-03-04,2026-03-09,N,2026-03-09
BTY-SKN-001456,FLMIA-001,BTY,SKN,Hydrating Face Serum Vitamin C,1oz,N/A,18.00,48.00,189,30,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
SHO-HEL-001567,WASET-001,SHO,HEL,Patent Leather Stiletto Pumps,8,Black,65.00,168.00,46,12,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
ACC-BAG-001678,GAATL-001,ACC,BAG,Quilted Leather Crossbody Bag,N/A,Black,45.00,128.00,76,15,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-09
MEN-PLO-003456,NYNYC-002,MEN,PLO,Performance Polo Shirt,M,Navy,18.00,49.50,310,50,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
WMN-DRS-004521,NYNYC-001,WMN,DRS,Classic Fit Wrap Dress,M,Navy,36.00,89.99,98,25,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
MEN-SHR-002341,CASFO-002,MEN,SHR,Classic Fit Oxford Shirt,L,White,32.00,79.50,200,30,WH-WEST-01,2026-03-05,2026-03-10,N,2026-03-10
KID-TPT-002567,TXDAL-001,KID,TPT,Boys Graphic Tee Dinosaur Print,8,Green,9.00,24.99,230,40,WH-CENTRAL-01,2026-03-07,2026-03-10,N,2026-03-10
SHO-SNK-002890,CASFO-002,SHO,SNK,Mens Retro Running Sneakers,10.5,White,55.00,139.00,83,20,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
