sku_id,store_id,department,category,product_name,size,color,unit_cost,retail_price,inventory_count,reorder_point,warehouse_id,last_received_date,last_sold_date,seasonal_flag,last_updated
WMN-DRS-004521,NYNYC-001,WMN,DRS,Classic Fit Wrap Dress,M,Navy,36.00,89.99,142,25,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-10
MEN-SHR-002341,CASFO-002,MEN,SHR,Classic Fit Oxford Shirt,L,White,32.00,79.50,185,30,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
KID-TPT-002567,TXDAL-001,KID,TPT,Boys Graphic Tee Dinosaur Print,8,Green,9.00,24.99,245,40,WH-CENTRAL-01,2026-03-06,2026-03-10,N,2026-03-10
HOM-BED-001345,ILDCH-001,HOM,BED,Egyptian Cotton Sheet Set Queen,Queen,White,65.00,179.99,52,15,WH-CENTRAL-01,2026-03-04,2026-03-09,N,2026-03-09
BTY-SKN-001456,FLMIA-001,BTY,SKN,Hydrating Face Serum Vitamin C,1oz,N/A,18.00,48.00,189,30,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
SHO-HEL-001567,WASET-001,SHO,HEL,Patent Leather Stiletto Pumps,8,Black,65.00,168.00,46,12,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
ACC-BAG-001678,GAATL-001,ACC,BAG,Quilted Leather Crossbody Bag,N/A,Black,45.00,128.00,76,15,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-09
MEN-PLO-003456,NYNYC-002,MEN,PLO,Performance Polo Shirt,M,Navy,18.00,49.50,310,50,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
KID-DRS-001234,CASLA-001,KID,DRS,Girls Tulle Party Dress,6,Pink,18.00,45.00,88,20,WH-WEST-01,2026-03-05,2026-03-09,Y,2026-03-09
INVALID-SKU,NYNYC-001,WMN,BLS,Silk Button Down Blouse,S,Ivory,52.00,128.00,67,20,WH-EAST-01,2026-03-02,2026-03-08,N,2026-03-09
123-ABC-999,ILDCH-001,MEN,SUT,Tailored Two Button Suit Jacket,42R,Charcoal,120.00,395.00,12,8,WH-CENTRAL-01,2026-03-01,2026-03-07,N,2026-03-07
WM-DR-004521,FLMIA-001,HOM,FRN,Mid Century Modern Accent Chair,N/A,Emerald,145.00,449.00,7,5,WH-EAST-01,2026-03-01,2026-03-05,N,2026-03-08
SHO-BTS-003123,TXDAL-001,SHO,BTS,Waterproof Leather Hiking Boots,9,Brown,78.00,195.00,31,10,WH-CENTRAL-01,2026-03-03,2026-03-07,N,2026-03-08
