sku_id,store_id,department,category,product_name,size,color,unit_cost,retail_price,inventory_count,reorder_point,warehouse_id,last_received_date,last_sold_date,seasonal_flag,last_updated
WMN-DRS-004521,NYNYC-001,WMN,DRS,Classic Fit Wrap Dress,M,Navy,36.00,89.99,142,25,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-10
MEN-SHR-002341,CASFO-002,MEN,SHR,Classic Fit Oxford Shirt,L,White,32.00,79.50,185,30,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
KID-TPT-002567,TXDAL-001,KID,TPT,Boys Graphic Tee Dinosaur Print,8,Green,9.00,24.99,245,40,WH-CENTRAL-01,2026-03-06,2026-03-10,N,2026-03-10
HOM-BED-001345,ILDCH-001,HOM,BED,Egyptian Cotton Sheet Set Queen,Queen,White,65.00,179.99,52,15,WH-CENTRAL-01,2026-03-04,2026-03-09,N,2026-03-09
BTY-SKN-001456,FLMIA-001,BTY,SKN,Hydrating Face Serum Vitamin C,1oz,N/A,18.00,48.00,189,30,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
SHO-HEL-001567,WASET-001,SHO,HEL,Patent Leather Stiletto Pumps,8,Black,65.00,168.00,46,12,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
ACC-BAG-001678,GAATL-001,ACC,BAG,Quilted Leather Crossbody Bag,N/A,Black,45.00,128.00,76,15,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-09
MEN-PLO-003456,NYNYC-002,MEN,PLO,Performance Polo Shirt,M,Navy,18.00,49.50,310,50,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
KID-DRS-001234,CASLA-001,KID,DRS,Girls Tulle Party Dress,6,Pink,18.00,45.00,88,20,WH-WEST-01,2026-03-05,2026-03-09,Y,2026-03-09
WMN-SKT-003290,CASFO-002,WMN,SKT,Pleated Midi Skirt,L,Black,28.00,69.50,203,30,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
MEN-DNM-005890,WASET-001,MEN,DNM,Relaxed Fit Stretch Denim Jeans,34,Indigo,35.00,89.00,78,20,WH-WEST-01,2026-03-04,2026-03-09,N,2026-03-09
HOM-DCR-002678,CASFO-002,HOM,DCR,Handwoven Throw Blanket,N/A,Terracotta,35.00,89.00,74,20,WH-WEST-01,2026-03-06,2026-03-10,Y,2026-03-10
BTY-MKP-002789,MABOS-001,BTY,MKP,Long Wear Liquid Foundation,N/A,Medium Beige,12.00,38.50,214,40,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-09
SHO-SNK-002890,CASLA-001,SHO,SNK,Mens Retro Running Sneakers,10.5,White,55.00,139.00,83,20,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
ACC-JWL-002901,NYNYC-001,ACC,JWL,Gold Plated Layered Necklace Set,N/A,Gold,18.00,52.00,198,35,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
WMN-BLS-001847,NYNYC-001,WMN,BLS,Silk Button Down Blouse,S,Ivory,89.99,45.00,67,20,WH-EAST-01,2026-03-02,2026-03-08,N,2026-03-09
INVALID-SKU,ILDCH-001,MEN,SUT,Tailored Two Button Suit Jacket,42R,Charcoal,120.00,395.00,12,8,WH-CENTRAL-01,2026-03-01,2026-03-07,N,2026-03-07
MEN-TIE-000412,NYNYC-002,MEN,TIE,Silk Paisley Necktie,N/A,Burgundy,22.00,59.50,-15,35,WH-EAST-01,2026-03-07,2026-03-10,N,2026-03-10
HOM-FRN-005567,FLMIA-001,HOM,FRN,Mid Century Modern Accent Chair,N/A,Emerald,145.00,449.00,7,5,WH-EAST-01,2026-03-01,2026-03-05,N,2026-01-20
WMN-PNT-002156,ILDCH-001,WMN,PNT,High Rise Wide Leg Trousers,10,Charcoal,95.00,38.00,91,20,WH-CENTRAL-01,2026-03-04,2026-03-09,N,2026-03-09
